|author|content|date|tags|title|tweetid|url
0|||Thu Feb 21 14:21:27 +0000 2013|['#FastFood', '#Calories', '#Diet']|FastFood Makes Up 11 Percent of Calories in U.S. Diet |3.045967017574646e+17|http://bit.ly/VymaIc
1|||Thu Feb 21 14:15:27 +0000 2013|[]|10 snacks to help you lose weight, burn fat, and build muscle: |3.0459519132985344e+17|http://bit.ly/TeQPqk
2|||Thu Feb 21 13:45:31 +0000 2013|[]|10 foods that boost your skin AND slim your waistline: |3.045876590183711e+17|http://trib.al/LDbxW6
3|||Thu Feb 21 13:15:22 +0000 2013|['#GoRed']|at a heart attack feels like in women (it's different than in men) http://bit.ly/InrWrC GoRed|3.04580073380524e+17|http://bit.ly/InrWrC
4|||Thu Feb 21 12:45:31 +0000 2013|['#McDonalds']|McDonalds oatmeal has almost 7 teaspoons of sugar in it! More healthy fast food that isn't: |3.045725602705736e+17|http://bit.ly/GGM5bA
5|||Thu Feb 21 12:15:21 +0000 2013|[]|10 foods that boost your skin AND slim your waistline: |3.045649658666271e+17|http://trib.al/4eRjME
6|||Thu Feb 21 11:45:13 +0000 2013|[]|Skipping Kegels, using talcum powder, and more vaginal health mistakes you're probably making |3.045573843098296e+17|http://bit.ly/yWptJ7
7|||Thu Feb 21 11:15:16 +0000 2013|[]|10 foods that boost your skin AND slim your waistline: |3.045498455013622e+17|http://bit.ly/R7OpqA
8|||Thu Feb 21 10:45:14 +0000 2013|[]|Today's to do for a happier you: Perform a random act of kindness (it'll make YOU feel better, too) |3.045422901337948e+17|http://bit.ly/HxUJEn
9|||Thu Feb 21 10:15:16 +0000 2013|[]|Depression isn't the same for everybody. Here are 9 different faces of the disorder: |3.0453474785244774e+17|http://bit.ly/HXuSpU
10|||Thu Feb 21 09:45:15 +0000 2013|[]|Why cutting out these unhealthy foods may actually make you a nicer person: |3.0452719361736294e+17|http://bit.ly/yTBw80
11|||Thu Feb 21 09:15:16 +0000 2013|[]|The worst snacks for your health: |3.0451964764921856e+17|http://bit.ly/xbkHC0
12|||Thu Feb 21 08:45:10 +0000 2013|[]|Why you should have sex today, tomorrow, the next day, AND the day after that: |3.045120736002335e+17|http://trib.al/wMjJUG
13|||Thu Feb 21 08:15:19 +0000 2013|[]|A @jillianmichaels bootcamp for your chest: |3.0450456142977434e+17|http://bit.ly/YLPgnc
14|||Thu Feb 21 07:45:10 +0000 2013|[]|ow to exercise your way to better sex: |3.044969724197028e+17|http://trib.al/iLlHOR
15|||Thu Feb 21 07:15:17 +0000 2013|[]|Overdid it yesterday on chocolate? How to burn up to 500 calories in just 20 minutes: |3.044894541591347e+17|http://bit.ly/wyXSKB
16|||Thu Feb 21 06:45:12 +0000 2013|[]|9 weird things running does to your body: |3.0448188474485146e+17|http://bit.ly/HIMacH
17|||Thu Feb 21 06:15:13 +0000 2013|[]|A His and Her Guide to Oral Stimulation. Read, share, love: |3.0447433801335194e+17|http://bit.ly/Hb4f20
18|||Thu Feb 21 05:45:09 +0000 2013|[]|Does muscle really burn more calories than fat? That plus more answers to your burning fat questions: |3.044667693708083e+17|http://trib.al/YXvpJx
19|||Thu Feb 21 05:15:20 +0000 2013|[]|Binge drinking is a problem among women and girls in the U.S., according to a new report. |3.0445926715346125e+17|http://bit.ly/U4HEdQ
20|||Thu Feb 21 04:45:19 +0000 2013|[]|Why we yawn - and why yawning is contagious: |3.044517110980444e+17|http://trib.al/NxtEcR
21|||Thu Feb 21 03:45:17 +0000 2013|[]|Fiber-rich foods to add to your diet ASAP: |3.044366047459656e+17|http://bit.ly/T2lpU6
22|||Thu Feb 21 03:30:07 +0000 2013|['#HIV', '#myths', '#sexualhea']|The truth behind HIV myths http://bit.ly/YnEeSn sexualhea|3.0443278800482304e+17|http://bit.ly/YnEeSn
23|||Thu Feb 21 03:15:16 +0000 2013|[]|Bored with your routine? Try these fun fitness swaps to supercharge your routine! |3.044290532455219e+17|http://trib.al/Z0JjTe
24|||Thu Feb 21 02:45:14 +0000 2013|[]|ant to lose weight? Exercise harder, not longer! How to tell if you're working hard enough: |3.0442149516845056e+17|http://bit.ly/TngoWp
25|||Thu Feb 21 02:15:19 +0000 2013|[]|The 6 worst times for his sex life: |3.0441396615788954e+17|http://bit.ly/zutyZW
26|||Thu Feb 21 01:45:21 +0000 2013|['#FastFood']|FastFood Tied to Asthma, Eczema, and Hay Fever in Kids |3.0440642347390566e+17|http://bit.ly/UlfGut
27|||Thu Feb 21 01:15:19 +0000 2013|[]|6 foods that can change your life: |3.0439886501094605e+17|http://bit.ly/yCNop5
28|||Thu Feb 21 01:05:21 +0000 2013|[]| Health Daily Digest is out! |3.0439635836903014e+17|http://paper.li/EverydayHealth/1340975022
29|||Thu Feb 21 00:48:04 +0000 2013|[]|More than 1 in 3 U.S. adults have prediabetes, and the numbers are rising. Learn how to eat to lower your risk: |3.043920066150523e+17|http://bit.ly/155TOrX
30|||Thu Feb 21 00:45:12 +0000 2013|[]|Could this flu season be the worst ... ever? |3.043912859455488e+17|http://bit.ly/Vnwmkm
31|||Thu Feb 21 00:15:26 +0000 2013|[]|"There really is something to that whole runner's high"". 7 great exercise that can help fight depression: http://bit.ly/xrJsuW"""|3.043837926956278e+17|http://bit.ly/xrJsuW
32|||Thu Feb 21 00:00:30 +0000 2013|['#HealthTalk', '#autism']|in us for a HealthTalk Thurs @ 1 pm ET to learn about autism. Dr Lisa Shulman of @EinsteinMed will answer ur Q's |3.043800369438556e+17|http://ow.ly/hTS7J
33|||Thu Feb 21 00:00:07 +0000 2013|['#heart', '#HeartHealthMon']|Stress is bad for your heart and mind. 6 ways to kick it to the curb: http://bit.ly/11t6Hy7 HeartHealthMon|3.043799421232292e+17|http://bit.ly/11t6Hy7
34|||Wed Feb 20 23:45:16 +0000 2013|[]|Want killer abs? @JillianMichaels shows you how get them: |3.043762031486853e+17|http://bit.ly/NNsFUd
