|author|contents|date|tags|title|tweetid|url
0|||Thu Apr 09 20:11:29 +0000 2015||A new sort of extracurricular activity: seeing patients.  |5.8626016046259e+17|http://khne.ws/1ceRuaZ
1|||Thu Apr 09 18:46:24 +0000 2015||Houston firefighters have another tool at their disposal when answering calls: digital doctors  |5.862387513341256e+17|http://khne.ws/1NfQjsp
2|||Thu Apr 09 15:00:25 +0000 2015||Will #Montana expand its #Medicaid program? Some moderates there have revived the idea:  |5.861818786352988e+17|http://khne.ws/1Do7UrB
3|||Thu Apr 09 13:30:44 +0000 2015||Rand Paul's campaign first day: abortion and the budget: |5.861593087459205e+17|http://khne.ws/1y8aJwC
4|||Thu Apr 09 13:29:47 +0000 2015||Enroll America, A Group Dedicated To Promoting Health Law Sign Ups, To Cut 100 Jobs |5.861590712644321e+17|http://khne.ws/1HUROpc
5|||Wed Apr 08 21:28:45 +0000 2015||RT @LVGillespie: Ever look up #health #symptoms on a #computer? Retired @nlm_news director led the charge: |5.859172176965386e+17|http://khne.ws/1JowAkr
6|||Wed Apr 08 18:55:40 +0000 2015||Patch-Up-Job?  #Obamacare |5.858786955685437e+17|http://khne.ws/1NaiTex
7|||Wed Apr 08 18:54:17 +0000 2015|||5.85878346556289e+17|
8|||Wed Apr 08 17:05:36 +0000 2015||In medicine and use a computer? You probably have this man to thank ... @LVGillespie reports:  http://ow.ly/i/ahlHl|5.85850996666069e+17|http://khne.ws/1JowAkr
9|||Wed Apr 08 16:26:24 +0000 2015||RT @cnnhealth: Two doctors fight for their own choice of how to die. Via @KHNews  |5.85841130308264e+17|http://cnn.it/1yVmb9H
10|||Tue Apr 07 16:53:38 +0000 2015||"RT @drshow: ""Evidence just doesn't support"" annual physicals, @JennyAGold reports:  But that info isn't getting out t�"|5.854855941780152e+17|http://wamu.fm/1NQYhmG
11|||Tue Apr 07 16:18:52 +0000 2015||Still getting your taxes done? Your 2014 tax bill could be affected by your insurance. Watch:  |5.854768457868165e+17|http://kaiserhealthnews.org/news/khn-video-tax-deadline-meets-the-health-law/
12|||Tue Apr 07 14:50:12 +0000 2015||Rule Proposed On Providing Mental Health �Parity� In Medicaid Program  |5.854545327646392e+17|http://kaiserhealthnews.org/news/rule-proposed-on-providing-mental-health-parity-in-medicaid-program/
13|||Mon Apr 06 18:04:24 +0000 2015||Battle For Mental Health Parity Produces Mixed Results  |5.851410158934508e+17|http://kaiserhealthnews.org/news/battle-for-mental-health-parity-produces-mixed-results/
14|||Mon Apr 06 17:19:44 +0000 2015||High-Deductible Health Plans Can Ruin Finances |5.851297765218796e+17|http://kaiserhealthnews.org/news/high-deductible-health-plans-can-ruin-finances/
15|||Mon Apr 06 14:53:36 +0000 2015||Billionaires Harness Money, Technology In Pursuit Of Fountain Of Youth |5.850930017368064e+17|http://kaiserhealthnews.org/morning-breakout/billionaires-harness-money-technology-in-pursuit-of-fountain-of-youth/
16|||Mon Apr 06 14:13:33 +0000 2015||Ritual, Not Science, Keeps The Annual Physical Alive  |5.850829224174141e+17|http://kaiserhealthnews.org/news/ritual-not-science-keeps-the-annual-physical-alive/
17|||Mon Apr 06 13:56:12 +0000 2015||Medicare Is Stingy In First Year Of Doctor Bonuses  |5.850785573044961e+17|http://kaiserhealthnews.org/news/medicare-is-stingy-in-first-year-of-doctor-bonuses/
18|||Fri Apr 03 19:21:47 +0000 2015||Cancer Survivor Worries About Supreme Court Ruling On Obamacare Subsidies |5.840733291594465e+17|http://kaiserhealthnews.org/news/cancer-survivor-worries-about-supreme-court-ruling-on-obamacare-subsidies/
19|||Fri Apr 03 19:05:52 +0000 2015||Got a minute? Watch how the your 2014 tax bill could be affected by your health insurance:  |5.840693216487793e+17|http://kaiserhealthnews.org/news/khn-video-tax-deadline-meets-the-health-law/
20|||Fri Apr 03 18:52:33 +0000 2015||Consumers Contributing Less To Health Savings Accounts, Study Finds  |5.840659718217523e+17|http://kaiserhealthnews.org/news/consumers-contributing-less-to-health-savings-accounts-study-finds/
21|||Thu Apr 02 22:13:13 +0000 2015||RT @Julie_appleby: It's tax time. Here's a clip on what you need to know if you received a health insurance subsidy. |5.837540829822403e+17|http://ow.ly/L8Z9o
22|||Thu Apr 02 16:46:30 +0000 2015||Got a min? Your 2014 tax bill could be affected by your health insurance.  |5.836718630599393e+17|http://khne.ws/1IUQDH0
23|||Thu Apr 02 13:45:12 +0000 2015|||5.836262355588014e+17|
24|||Wed Apr 01 18:25:53 +0000 2015||�Last But Not Least?�  |5.833344827421491e+17|http://khne.ws/1MAX1cd
25|||Wed Apr 01 18:20:27 +0000 2015||In Georgia, a solution on #Medicaid expansion -- just don't do it:  |5.833331178232955e+17|http://khne.ws/1MAVZgf
26|||Wed Apr 01 15:26:58 +0000 2015||RT @cnnhealth: Despised hospital gowns get fashion makeovers, via @KHNews.  |5.832894596109107e+17|http://cnn.it/1yA4oov
27|||Tue Mar 31 19:45:11 +0000 2015||If you're moving, make sure you notify your marketplace plan or you might end up making extra payments: |5.829920525367542e+17|http://khne.ws/1INfEUx
28|||Tue Mar 31 19:42:43 +0000 2015||Could this new plan change how we diagnose and treat #mentalillness?  |5.829914302320968e+17|http://khne.ws/1NF7lgr
29|||Tue Mar 31 19:16:50 +0000 2015||Dead Center?  |5.829849167883346e+17|http://khne.ws/1INcdx5
30|||Tue Mar 31 16:59:14 +0000 2015||#SCOTUS has ruled that health care providers can't sue states to force them to increase their Medicaid payment rates |5.829502915800146e+17|http://khne.ws/1IiWgOd
31|||Tue Mar 31 15:40:49 +0000 2015||Hey news friends, did you know you can run @KHNews' stories for free? Well, you can -- |5.829305552364585e+17|http://khne.ws/1J9523K
32|||Tue Mar 31 15:27:00 +0000 2015||Hate hospital gowns? You're not alone. Some are getting a fashion face lift --  |5.829270790893978e+17|http://khne.ws/1ExnB1k
33|||Mon Mar 30 20:44:50 +0000 2015||"UnitedHealthcare is changing its policy on ""balance billing."" It could mean unexpected bills for some: "|5.826446755694264e+17|http://khne.ws/1EsvghD
34|||Mon Mar 30 18:53:16 +0000 2015||'A pox on you?'  |5.826165997623788e+17|http://khne.ws/1G1RXte
35|||Mon Mar 30 17:24:13 +0000 2015||This doctor knows how he wants to die, and he's pushing to let patients make the same decision  |5.825941883420058e+17|http://khne.ws/1NzvEMs
36|||Mon Mar 30 14:16:33 +0000 2015||Feds Step Up Efforts To Raise Awareness About Health Law Tax Breaks |5.825469607391191e+17|http://khne.ws/1NyHFSo
