|tweetid|date|title|url
0|576760256031682561|Sat Mar 14 15:02:15 +0000 2015|Five new running shoes that aim to go the extra mile |http://lat.ms/1ELp3wU
1|576715414811471872|Sat Mar 14 12:04:04 +0000 2015|Gym Rat: Disq class at Crunch is intense workout on pulley system |http://lat.ms/1EKOFdr
2|576438353555365888|Fri Mar 13 17:43:07 +0000 2015|Noshing through thousands of ideas at Natural Products Expo West |http://lat.ms/1EHqywg
3|576438347003908096|Fri Mar 13 17:43:06 +0000 2015|Natural Products Expo also explores beauty, supplements and more |http://lat.ms/1EHqyfE
4|576413058177712128|Fri Mar 13 16:02:36 +0000 2015|Free Fitness Weekends in South Bay beach cities aim to spark activity |http://lat.ms/1EH3SMC
5|576394093485412352|Fri Mar 13 14:47:15 +0000 2015|For Kayla Harrison, sacrifices paid off with judo gold |http://lat.ms/1EGNyve
6|576162196272594944|Thu Mar 12 23:25:46 +0000 2015|Sonic waves a treatment for Alzheimer's Disease? |http://lat.ms/1FbQ2kk
7|576161553759760384|Thu Mar 12 23:23:13 +0000 2015||
8|575736772082208768|Wed Mar 11 19:15:17 +0000 2015|Is Apple's new ResearchKit really a boon for medical research? |http://lat.ms/1b0E0Pi
9|575689067540660224|Wed Mar 11 16:05:44 +0000 2015|Warning to Chantix users: If you drink while taking this drug, you might not remember it the next day. |http://lat.ms/1KSN5Kh
10|575459939872731136|Wed Mar 11 00:55:15 +0000 2015|Some Chantix users had memory problems after drinking a modest amount of alcohol, @US_FDA says |http://lat.ms/1KSN5Kh
11|575425988869423104|Tue Mar 10 22:40:21 +0000 2015|Guanine isn't just an ingredient in DNA. In nanocrystal form, it allows chameleons to change colors. @NatureComms |http://lat.ms/1wr2qv0
12|575419755986817024|Tue Mar 10 22:15:35 +0000 2015|The @US_FDA has documented 64 cases of Chantix users having seizures after using the smoking cessation drug |http://lat.ms/1KSN5Kh
13|575404616818491392|Tue Mar 10 21:15:25 +0000 2015|Drinking while taking Chantix may make people more inebriated and aggressive than usual, @US_FDA warns |http://lat.ms/1KSN5Kh
14|575400153873563648|Tue Mar 10 20:57:41 +0000 2015|The @US_FDA warns Chantix users that the smoking-cessation drug could cause seizures and make drinking problematic |http://lat.ms/1KSN5Kh
15|575371994293755907|Tue Mar 10 19:05:47 +0000 2015|Loving a kid is good for his self-esteem; thinking he is better than other kids can make him narcissistic |http://lat.ms/1AbI1X4
16|575327944295456768|Tue Mar 10 16:10:45 +0000 2015|Parents can create narcissistic tendencies in their children. Here's how, via @PNASNews |http://lat.ms/1AbI1X4
17|575096248824389632|Tue Mar 10 00:50:05 +0000 2015|Sadly ... it has been a missed chance, one @WHO official says of testing Ebola drugs |http://lat.ms/1wm7sZx
18|575056076145561600|Mon Mar 09 22:10:27 +0000 2015|Warning: The Monday after daylight saving time starts is most hazardous to your health. Here's why: |http://lat.ms/1BqdRlG
19|575053909313634304|Mon Mar 09 22:01:50 +0000 2015|One company has canceled plans to test its Ebola drug because there aren't Ebola patients left. Others may follow |http://lat.ms/1wm7sZx
20|575053026521661440|Mon Mar 09 21:58:20 +0000 2015|People are not just born narcissists. Their parents raise them that way, @OhioState's @BradJBushman says. |http://lat.ms/1AbI1X4
21|575052282657652736|Mon Mar 09 21:55:22 +0000 2015|It's hard to complain about lack of Ebola patients, but one upshot is that scientists can't test possible drugs |http://lat.ms/1wm7sZx
22|575049588454858752|Mon Mar 09 21:44:40 +0000 2015|With Ebola crisis easing, efforts to test new drugs and vaccines are in jeopardy. Why? Too few patients |http://lat.ms/1wm7sZx
23|575009507375452160|Mon Mar 09 19:05:24 +0000 2015|Air pollution? Obesity? Genetics? You can study them all via daylight saving time |http://lat.ms/1A84HY3
24|574964265016291328|Mon Mar 09 16:05:37 +0000 2015|For scientists, daylight saving time is a great opportunity to conduct all kinds of research. |http://lat.ms/1A84HY3
25|574254071185457153|Sat Mar 07 17:03:34 +0000 2015|After shifting fads, time for a clear-eyed look at fat in our diets |http://lat.ms/1Gtx9e7
26|574194432301359105|Sat Mar 07 13:06:35 +0000 2015|Three light-therapy products to aid seasonal affective disorder |http://lat.ms/1HbYe32
27|573980153946181632|Fri Mar 06 22:55:07 +0000 2015|"A pill to burn calories? ""We are quite excited about it,"" says @EmoryUniversity researcher. So are we!"|http://lat.ms/1B9Gsg3
28|573951959851388928|Fri Mar 06 21:03:05 +0000 2015|Health focus shifts to gut microbiome and nurturing 'good' bacteria |http://lat.ms/1GrwjP1
29|573940028155518976|Fri Mar 06 20:15:40 +0000 2015|This compound tricks muscles into thinking they were getting regular, intensive exercise. Only in females. |http://lat.ms/1B9Gsg3
30|573935522801934336|Fri Mar 06 19:57:46 +0000 2015|Don't get out of your chair just to work out: even intensive exercise may not help if you sit for long hours. |http://lat.ms/1GrngO4
31|573934373453627392|Fri Mar 06 19:53:12 +0000 2015|Why do female killer whales--and humans--live long beyond child-bearing years? To lead. |http://lat.ms/1McGw0s
32|573922644401090560|Fri Mar 06 19:06:36 +0000 2015|Patricia Bragg, a living testament to healthful habits |http://lat.ms/1H7OGGg
33|573894688228425731|Fri Mar 06 17:15:30 +0000 2015|Could a puff of oxytocin keep the pounds away? Preliminary results are encouraging |http://lat.ms/1wKRkBh
34|573719693795672064|Fri Mar 06 05:40:08 +0000 2015|Oxytocin turns men into cuddly, highly evolved salad-eaters. via @LATMelissaHealy |http://lat.ms/1wKRkBh
35|573678648894570496|Fri Mar 06 02:57:02 +0000 2015|Boost his levels of the hormone oxytocin and he might evolve into a trim, salad-eating snuggle-bunny. |http://lat.ms/1McmTr0
36|573678085104615424|Fri Mar 06 02:54:48 +0000 2015|Boost a healthy aging guy's testosterone and you might raise his risk of heart attack, says FDA. |http://lat.ms/1EeQS0o
37|573676855372439553|Fri Mar 06 02:49:55 +0000 2015|A potential weight-loss, obesity prevention drug that only works for females? Sweet justice! |http://lat.ms/1Kv6yR2
38|573676647834066944|Fri Mar 06 02:49:05 +0000 2015||
39|573645464794370048|Fri Mar 06 00:45:11 +0000 2015|RT @mmacvean: Delicious #goji drink. Not too sweet. From #Sonoma. @NatProdExpo @gojivitatea. #superberries _XfRqpUwAALuSn.jpg|http://pbs.twimg.com/media/B
40|573579273035902977|Thu Mar 05 20:22:09 +0000 2015|RT @mmacvean: Is it #natural if it has these? W/ @MicheleRSimon @NatProdExpo #Expowest2015 _XDOQbU8AARNdJ.jpg|http://pbs.twimg.com/media/B
41|573575143655497729|Thu Mar 05 20:05:45 +0000 2015||
42|573570160805613569|Thu Mar 05 19:45:57 +0000 2015|RT @mmacvean: .@srirachasauce goes everywhere. @country archer #beef jerky. @NatProdExpo #ExpoWest _W5yF-UcAAWYWN.jpg|http://pbs.twimg.com/media/B
43|573570131227336705|Thu Mar 05 19:45:50 +0000 2015|RT @mmacvean: Will these get eating #chia? #chocolate covered. #ExpoWest2015 @NatProdExpo _W37ZfVAAA7H4x.jpg|http://pbs.twimg.com/media/B
44|573570008392974336|Thu Mar 05 19:45:21 +0000 2015||
45|573569449455824896|Thu Mar 05 19:43:07 +0000 2015|RT @mmacvean: In #Anaheim @NatProdExpo #expowest. Let me know of cool new foods. _WnX03U8AAuqOH.jpg|http://pbs.twimg.com/media/B
46|573300726061015040|Thu Mar 05 01:55:19 +0000 2015|Good news: The number of twins/triplets/multiples born as a result of IVF keeps falling. |http://lat.ms/17RHiCB
47|573255122895179776|Wed Mar 04 22:54:06 +0000 2015|Uh-oh: Even a rigorous workout won't undo the ill effects of prolonged sitting. @ACCinTouch |http://lat.ms/1M6N948
48|573254233610440705|Wed Mar 04 22:50:34 +0000 2015|Look around at 1 and 2-yr-olds. About 1.5% of them wouldn't be here without IVF. |http://lat.ms/17RHiCB
49|573242145236242432|Wed Mar 04 22:02:32 +0000 2015|"Supplements to boost ""low T"" increase risk of heart attacks &amp; strokes, @US_FDA warns. Think twice before taking. "|http://lat.ms/1M7UO4h
50|573238450629058561|Wed Mar 04 21:47:51 +0000 2015|"The @US_FDA warns men of risks of taking prescription testosterone supplements to boost ""low T"" "|http://lat.ms/1M7UO4h
51|573233620036521985|Wed Mar 04 21:28:39 +0000 2015|63,286: The number of babies born in 2013 as a result of IVF and other fertility treatments. |http://lat.ms/17RHiCB
52|572960829043310593|Wed Mar 04 03:24:41 +0000 2015|Guys: 1) your penis is fine (); and 2) tired and not-always-up-for-sex isn't a disease (http://lat.ms/1EeQS0o)|http://lat.ms/1DSisho
53|572950925452681216|Wed Mar 04 02:45:20 +0000 2015|Not every study can win a @NobelPrize. But this one, on penis lengths, will be useful to many people @BJUIjournal |http://lat.ms/1NecSeA
54|572938317420998656|Wed Mar 04 01:55:14 +0000 2015|Study proves that finger length and foot size DO NOT predict the length of a man's penis |http://lat.ms/1NecSeA
55|572932117514076160|Wed Mar 04 01:30:36 +0000 2015|Height is indeed correlated with penis size, but the association is weak. Data from @BJUIjournal |http://lat.ms/1NecSeA
56|572931994864263168|Wed Mar 04 01:30:06 +0000 2015|Researchers comb through measurements of more than 15,000 men to see what qualifies as a 'normal' penis |http://lat.ms/1NecSeA
57|572927460213460992|Wed Mar 04 01:12:05 +0000 2015|5.2 inches: The average length of an erect penis. Here's the study that crunched the numbers |http://lat.ms/1NecSeA
58|572575901025759232|Tue Mar 03 01:55:07 +0000 2015|74% of doctors surveyed said they have complied with parents' requests to 'spread out' childhood vaccines |http://lat.ms/1vUFunE
59|572528136426004480|Mon Mar 02 22:45:19 +0000 2015|Doctors often delay vaccines for young children even though they believe it puts these kids at risk. Here's why |http://lat.ms/1vUFunE
60|572509390789599232|Mon Mar 02 21:30:50 +0000 2015|Pediatricians and family medicine doctors feel trapped by parents who don't trust expert advice on vaccines |http://lat.ms/1vUFunE
61|572504407927078913|Mon Mar 02 21:11:02 +0000 2015|Vaccine-wary parents pressure doctors to delay vaccines, and many go along despite serious reservations |http://lat.ms/1vUFunE
62|572484115641081856|Mon Mar 02 19:50:24 +0000 2015|RT @LATerynbrown: Coming home after treating Ebola patients has its challenges, volunteer doctor says |http://lat.ms/1Ck3GBZ
63|572441640289353728|Mon Mar 02 17:01:37 +0000 2015|RT @renelynch: Diet is only one part of the Primal lifestyle, @Mark_Sisson told me  Read more about his quest for hea…|http://lat.ms/1vLRveV
64|571852454754721792|Sun Mar 01 02:00:24 +0000 2015|Wind tunnel experiments reveal the REAL reason you have eyelashes: |http://lat.ms/1wyKEkd
65|571808335680438272|Sat Feb 28 23:05:05 +0000 2015|Clinical trial of #Ebola drug ZMapp now underway in Liberia. Only some of the study participants will get it. |http://lat.ms/1C9s3Cj
66|571758094373560320|Sat Feb 28 19:45:27 +0000 2015|Better late than never? US @NIAIDNews begins clinical trial of ZMapp in Liberia. |http://lat.ms/1C9s3Cj
67|571672785589686272|Sat Feb 28 14:06:27 +0000 2015|Getting primal with Mark Sisson |http://lat.ms/1DDdqFk
68|571671305675669504|Sat Feb 28 14:00:35 +0000 2015|A brief timeline shows how we're gluttons for diet fads |http://lat.ms/1aBjQuZ
69|571415750285471745|Fri Feb 27 21:05:05 +0000 2015|Innovative sunglasses are a sight for active eyes |http://lat.ms/1awBS1x
70|571392973826498560|Fri Feb 27 19:34:35 +0000 2015|Angels' Mike Trout stays one of baseball's best the old way: lots of work |http://lat.ms/1aw7Lay
71|571358874873176065|Fri Feb 27 17:19:05 +0000 2015|Avatars often reflect a reality about their creators, study finds |http://lat.ms/1avtEqC
72|571024949986635778|Thu Feb 26 19:12:11 +0000 2015|"The ""love hormone"" oxytocin kills alcohol's buzz--who knew? Maybe a treatment for alcoholism &amp; other addictions? "|http://lat.ms/1E0wM9X
73|571024105031512064|Thu Feb 26 19:08:50 +0000 2015|Emulsifiers are everywhere in prepared food. A new study says they may cause colitis, pre-diabetes and obesity. |http://lat.ms/180IHqp
74|569120035341406208|Sat Feb 21 13:02:44 +0000 2015|Workout on a Gyrotonic tower gives body what it longs for |http://lat.ms/19PKxvy
75|568896025768779777|Fri Feb 20 22:12:36 +0000 2015|Once shunned, Greg LeMond returns to biking world and road to success |http://lat.ms/19LV3UA
76|568848361488429056|Fri Feb 20 19:03:12 +0000 2015|'Forest bath' is way to let nature cleanse away stress |http://lat.ms/19KVS03
77|568823057327919104|Fri Feb 20 17:22:39 +0000 2015|Let go of stress by creating your own spa environment |http://lat.ms/1CUX76i
78|568645429602070528|Fri Feb 20 05:36:49 +0000 2015|RT @latimesscience: UCLA superbug outbreak: Why the medical scope used is hard to disinfect |http://lat.ms/19G6a1p
79|568625391801229312|Fri Feb 20 04:17:12 +0000 2015|Solstice Canyon hike in Malibu takes in ruins of old estate |http://lat.ms/1CQYG5o
80|568503585442394112|Thu Feb 19 20:13:11 +0000 2015|Gluten-free baking from Kristine Kidd |http://lat.ms/19EfoLN
81|568224747886133248|Thu Feb 19 01:45:11 +0000 2015|Pot can change a brain circuit from being one that tells the body it's full to one that tells it to keep eating. |http://lat.ms/1vGBce0
82|568185823298002944|Wed Feb 18 23:10:31 +0000 2015|Scientists use genetic engineering to thwart HIV with a big fake-out. Here's how: |http://lat.ms/1MxNUXg
83|568165509641965568|Wed Feb 18 21:49:48 +0000 2015|RT @mmacvean: Some #ucla #usc research on #meditation. Helps sleep? Have you tried it? |http://lat.ms/1vGNvqP
84|568164406401601536|Wed Feb 18 21:45:25 +0000 2015|THIS is why marijuana is bad for your diet. Thank the stoned mice @Yale who helped researchers figure it out |http://lat.ms/1vGBce0
85|568141908054306816|Wed Feb 18 20:16:01 +0000 2015|Scientists fight HIV by passing the immune system. Instead, they use gene therapy to create decoy molecules |http://lat.ms/1MxNUXg
86|568130603020918784|Wed Feb 18 19:31:05 +0000 2015|Gene therapy technique functions like an effective HIV vaccine in monkeys. via @Nature |http://lat.ms/1MxNUXg
87|568126056093356032|Wed Feb 18 19:13:01 +0000 2015|Dozens of stoned lab mice help scientists trace the origins of the munchies. @Nature via @DeborahNetburn |http://lat.ms/1vGBce0
88|568120505221427200|Wed Feb 18 18:50:58 +0000 2015|HIV researchers say a gene therapy technique protects monkeys from infection, via @Nature |http://lat.ms/1MxNUXg
