|author|content|date|tags|title|tweetid|url
0|||Sat Mar 14 15:02:15 +0000 2015|[]|Five new running shoes that aim to go the extra mile |5.767602560316826e+17|http://lat.ms/1ELp3wU
1|||Sat Mar 14 12:04:04 +0000 2015|[]|Gym Rat: Disq class at Crunch is intense workout on pulley system |5.767154148114719e+17|http://lat.ms/1EKOFdr
2|||Fri Mar 13 17:43:07 +0000 2015|[]|Noshing through thousands of ideas at Natural Products Expo West |5.764383535553659e+17|http://lat.ms/1EHqywg
3|||Fri Mar 13 17:43:06 +0000 2015|[]|Natural Products Expo also explores beauty, supplements and more |5.764383470039081e+17|http://lat.ms/1EHqyfE
4|||Fri Mar 13 16:02:36 +0000 2015|[]|Free Fitness Weekends in South Bay beach cities aim to spark activity |5.764130581777121e+17|http://lat.ms/1EH3SMC
5|||Fri Mar 13 14:47:15 +0000 2015|[]|For Kayla Harrison, sacrifices paid off with judo gold |5.7639409348541235e+17|http://lat.ms/1EGNyve
6|||Thu Mar 12 23:25:46 +0000 2015|[]|Sonic waves a treatment for Alzheimer's Disease? |5.7616219627259494e+17|http://lat.ms/1FbQ2kk
7|||Thu Mar 12 23:23:13 +0000 2015|[]|An ultrasound for the brain restores memory in Alzheimer's w/o so much as a needle. But only--so far--in mice.|5.761615537597604e+17|
8|||Wed Mar 11 19:15:17 +0000 2015|[]|Is Apple's new ResearchKit really a boon for medical research? |5.757367720822088e+17|http://lat.ms/1b0E0Pi
9|||Wed Mar 11 16:05:44 +0000 2015|[]|Warning to Chantix users: If you drink while taking this drug, you might not remember it the next day. |5.756890675406602e+17|http://lat.ms/1KSN5Kh
10|||Wed Mar 11 00:55:15 +0000 2015|[]|ome Chantix users had memory problems after drinking a modest amount of alcohol, @US_FDA says |5.7545993987273114e+17|http://lat.ms/1KSN5Kh
11|||Tue Mar 10 22:40:21 +0000 2015|[]|Guanine isn't just an ingredient in DNA. In nanocrystal form, it allows chameleons to change colors. @NatureComms |5.754259888694231e+17|http://lat.ms/1wr2qv0
12|||Tue Mar 10 22:15:35 +0000 2015|[]|The @US_FDA has documented 64 cases of Chantix users having seizures after using the smoking cessation drug |5.75419755986817e+17|http://lat.ms/1KSN5Kh
13|||Tue Mar 10 21:15:25 +0000 2015|[]|Drinking while taking Chantix may make people more inebriated and aggressive than usual, @US_FDA warns |5.754046168184914e+17|http://lat.ms/1KSN5Kh
14|||Tue Mar 10 20:57:41 +0000 2015|[]|The @US_FDA warns Chantix users that the smoking-cessation drug could cause seizures and make drinking problematic |5.7540015387356365e+17|http://lat.ms/1KSN5Kh
15|||Tue Mar 10 19:05:47 +0000 2015|[]|Loving a kid is good for his self-esteem; thinking he is better than other kids can make him narcissistic |5.753719942937559e+17|http://lat.ms/1AbI1X4
16|||Tue Mar 10 16:10:45 +0000 2015|[]|Parents can create narcissistic tendencies in their children. Here's how, via @PNASNews |5.753279442954568e+17|http://lat.ms/1AbI1X4
17|||Tue Mar 10 00:50:05 +0000 2015|[]|Sadly ... it has been a missed chance, one @WHO official says of testing Ebola drugs |5.750962488243896e+17|http://lat.ms/1wm7sZx
18|||Mon Mar 09 22:10:27 +0000 2015|[]|Warning: The Monday after daylight saving time starts is most hazardous to your health. Here's why: |5.750560761455616e+17|http://lat.ms/1BqdRlG
19|||Mon Mar 09 22:01:50 +0000 2015|[]|One company has canceled plans to test its Ebola drug because there aren't Ebola patients left. Others may follow |5.750539093136343e+17|http://lat.ms/1wm7sZx
20|||Mon Mar 09 21:58:20 +0000 2015|[]|People are not just born narcissists. Their parents raise them that way, @OhioState's @BradJBushman says. |5.7505302652166144e+17|http://lat.ms/1AbI1X4
21|||Mon Mar 09 21:55:22 +0000 2015|[]|It's hard to complain about lack of Ebola patients, but one upshot is that scientists can't test possible drugs |5.7505228265765274e+17|http://lat.ms/1wm7sZx
22|||Mon Mar 09 21:44:40 +0000 2015|[]|With Ebola crisis easing, efforts to test new drugs and vaccines are in jeopardy. Why? Too few patients |5.7504958845485875e+17|http://lat.ms/1wm7sZx
23|||Mon Mar 09 19:05:24 +0000 2015|[]|ir pollution? Obesity? Genetics? You can study them all via daylight saving time |5.7500950737545216e+17|http://lat.ms/1A84HY3
24|||Mon Mar 09 16:05:37 +0000 2015|[]|For scientists, daylight saving time is a great opportunity to conduct all kinds of research. |5.749642650162913e+17|http://lat.ms/1A84HY3
25|||Sat Mar 07 17:03:34 +0000 2015|[]|After shifting fads, time for a clear-eyed look at fat in our diets |5.7425407118545715e+17|http://lat.ms/1Gtx9e7
26|||Sat Mar 07 13:06:35 +0000 2015|[]|Three light-therapy products to aid seasonal affective disorder |5.741944323013591e+17|http://lat.ms/1HbYe32
27|||Fri Mar 06 22:55:07 +0000 2015|[]|"A pill to burn calories? ""We are quite excited about it,"" says @EmoryUniversity researcher. So are we!"|5.739801539461816e+17|http://lat.ms/1B9Gsg3
28|||Fri Mar 06 21:03:05 +0000 2015|[]|Health focus shifts to gut microbiome and nurturing 'good' bacteria |5.739519598513889e+17|http://lat.ms/1GrwjP1
29|||Fri Mar 06 20:15:40 +0000 2015|[]|This compound tricks muscles into thinking they were getting regular, intensive exercise. Only in females. |5.73940028155519e+17|http://lat.ms/1B9Gsg3
30|||Fri Mar 06 19:57:46 +0000 2015|[]|Don't get out of your chair just to work out: even intensive exercise may not help if you sit for long hours. |5.7393552280193434e+17|http://lat.ms/1GrngO4
31|||Fri Mar 06 19:53:12 +0000 2015|[]|Why do female killer whales--and humans--live long beyond child-bearing years? To lead. |5.739343734536274e+17|http://lat.ms/1McGw0s
32|||Fri Mar 06 19:06:36 +0000 2015|[]|Patricia Bragg, a living testament to healthful habits |5.7392264440109056e+17|http://lat.ms/1H7OGGg
33|||Fri Mar 06 17:15:30 +0000 2015|[]|Could a puff of oxytocin keep the pounds away? Preliminary results are encouraging |5.738946882284257e+17|http://lat.ms/1wKRkBh
34|||Fri Mar 06 05:40:08 +0000 2015|[]|Oxytocin turns men into cuddly, highly evolved salad-eaters. via @LATMelissaHealy |5.7371969379567206e+17|http://lat.ms/1wKRkBh
35|||Fri Mar 06 02:57:02 +0000 2015|[]|Boost his levels of the hormone oxytocin and he might evolve into a trim, salad-eating snuggle-bunny. |5.736786488945705e+17|http://lat.ms/1McmTr0
36|||Fri Mar 06 02:54:48 +0000 2015|[]|Boost a healthy aging guy's testosterone and you might raise his risk of heart attack, says FDA. |5.736780851046154e+17|http://lat.ms/1EeQS0o
37|||Fri Mar 06 02:49:55 +0000 2015|[]|A potential weight-loss, obesity prevention drug that only works for females? Sweet justice! |5.7367685537243955e+17|http://lat.ms/1Kv6yR2
38|||Fri Mar 06 02:49:05 +0000 2015|[]|A potential weight-loss, obesity prevention drug that only works for females? Sweet justice!|5.7367664783406694e+17|
39|||Fri Mar 06 00:45:11 +0000 2015|['#goji', '#Sonoma', '#superberries']|RT @mmacvean: Delicious goji drink. Not too sweet. From Sonoma. @NatProdExpo @gojivitatea. superberries http://pbs.twimg.com/media/B_XfRqpUwAALuSn.j|5.7364546479437005e+17|http://pbs.twimg.com/media/B
40|||Thu Mar 05 20:22:09 +0000 2015|['#natural', '#Expowest2015']|RT @mmacvean: Is it natural if it has these? W/ @MicheleRSimon @NatProdExpo Expowest2015 http://pbs.twimg.com/media/B_XDOQbU8AARNdJ.j|5.73579273035903e+17|http://pbs.twimg.com/media/B
41|||Thu Mar 05 20:05:45 +0000 2015|['#natural', '#Expowest2015']|RT @mmacvean: .@MicheleRSimon talking to companies @NatProdExpo about not getting sued over natural Expowest2015 How to do the right thin…|5.735751436554977e+17|
