author|contents|date|tags|title|tweetid|url
|LOS ANGELES (Reuters) - Authorities in Los Angeles have shuttered 500 medical marijuana dispensaries since residents voted two years ago to cap the number of pot shops in the city at about 130, officials said on Thursday. , City Attorney Mike Feuer told reporters hundreds of the illegal businesses still operate, highlighting the challenges of reining in the dispensaries in Los Angeles, which is widely believed to have more pot shops than any U.S. metropolis. , To achieve the closures, Los Angeles officials have filed criminal and civil cases against some dispensary owners, and have sent letters threatening legal action against landlords who lease space to dispensaries, officials said. , The medical cannabis shops opened in the years after a vote by California residents in 1996 to permit medicinal use of the drug, which remains banned under federal law.  , Twenty-three U.S. states allow medical pot, while four states and the District of Columbia have approved recreational marijuana use by adults. , Efforts to control the number of dispensaries in Los Angeles, the nation’s second-largest city, have at times been compared with a game of whack-a-mole, as the owners of some shops move their businesses to escape enforcement. , The dispensaries, which are usually identified by a green medical cross posted on a storefront, have long drawn complaints from neighbors upset about the pungent smell and the risk of minors getting marijuana from dispensary customers.   , But Feuer said the number of complaints has fallen over the last two years, in what he said was a sign the crackdown by his office is working. He declined to give an exact estimate of how many dispensaries still exist.     , “While we have succeeded in a remarkable way up to this point, we are far from through,” Feuer told a news conference. , Los Angeles residents voted in 2013 to cap the number of dispensaries at about 130, or roughly as many as registered with the city in 2007 when city leaders first tried to limit their numbers. , Under California’s rules, the dispensaries cannot be located near schools, and must follow other regulations such as not having illuminated signs visible at night.   , Estimates for the number of dispensaries currently operating in the city have varied widely. , A survey last September by the University of California, Los Angeles, found at least 410 in operation, said Bridget Freisthler, a professor of social welfare at the school. |Thu Apr 09 21:40:16 +0000 2015||Los Angeles closes 500 medical marijuana shops, but hundreds remain |5.862825039813755e+17|http://reut.rs/1CvkXmm
||Thu Apr 09 21:24:27 +0000 2015||U.S. cuts poultry export forecast as deadly bird flu spreads |5.862785247487508e+17|http://reut.rs/1abCAQY
||Thu Apr 09 21:04:15 +0000 2015||Fears over Roundup herbicide residues prompt private testing |5.862734418016993e+17|http://reut.rs/1DpfmCU
||Thu Apr 09 19:49:50 +0000 2015||Liberia watchdog says some Ebola funds unaccounted for |5.86254712523096e+17|http://reut.rs/1Dp1vfF
||Thu Apr 09 19:07:10 +0000 2015||Diabetes devices may interfere with avalanche beacon signals |5.862439763337871e+17|http://reut.rs/1DoTDLl
||Thu Apr 09 18:58:12 +0000 2015||Three in Texas infected with Listeria from tainted ice cream: CDC |5.862417204902748e+17|http://reut.rs/1DoRX4s
||Thu Apr 09 18:01:58 +0000 2015||Mediterranean rescuers in quest for seaborne migrants' chef |5.862275685269176e+17|http://reut.rs/1CuvM85
||Thu Apr 09 17:00:56 +0000 2015||Fidelity CEO taps personal fortune for bets on cancer-related IPOs |5.862122067291341e+17|http://reut.rs/1CufHPU
||Thu Apr 09 16:27:23 +0000 2015||Mexico reports bird flu outbreaks in Puebla and Oaxaca states |5.862037667744645e+17|http://reut.rs/1Cu6UgG
||Thu Apr 09 16:09:08 +0000 2015||Can special flooring reduce fall injuries for elderly? |5.861991734998508e+17|http://reut.rs/1DolhYO
||Thu Apr 09 16:09:08 +0000 2015||When surgeons say ‘we can fix it,’ patients may misunderstand risks |5.861991715873055e+17|http://reut.rs/1Cu2dU6
||Thu Apr 09 12:51:04 +0000 2015||Detecting diabetes in children before symptoms appear |5.861493262058824e+17|http://reut.rs/1CtdtAf
||Thu Apr 09 12:26:17 +0000 2015||Niger isolates suspected bird flu farm as region takes precautions |5.861430918931087e+17|http://reut.rs/1Ct7r2B
||Thu Apr 09 06:03:35 +0000 2015||Sabra Dipping Co recalls 30,000 cases of hummus over Listeria fears |5.860467810557051e+17|http://reut.rs/1CrMAwn
||Thu Apr 09 05:16:24 +0000 2015||California bill banning child vaccine exemptions moves ahead |5.860349062764339e+17|http://reut.rs/1CrDIH4
