author|contents|date|tags|title|tweetid|url
||Thu Apr 09 20:11:29 +0000 2015||A new sort of extracurricular activity: seeing patients.  |5.8626016046259e+17|http://khne.ws/1ceRuaZ
||Thu Apr 09 18:46:24 +0000 2015||Houston firefighters have another tool at their disposal when answering calls: digital doctors  |5.862387513341256e+17|http://khne.ws/1NfQjsp
||Thu Apr 09 15:00:25 +0000 2015||Will #Montana expand its #Medicaid program? Some moderates there have revived the idea:  |5.861818786352988e+17|http://khne.ws/1Do7UrB
||Thu Apr 09 13:30:44 +0000 2015||Rand Paul's campaign first day: abortion and the budget: |5.861593087459205e+17|http://khne.ws/1y8aJwC
||Thu Apr 09 13:29:47 +0000 2015||Enroll America, A Group Dedicated To Promoting Health Law Sign Ups, To Cut 100 Jobs |5.861590712644321e+17|http://khne.ws/1HUROpc
||Wed Apr 08 21:28:45 +0000 2015||RT @LVGillespie: Ever look up #health #symptoms on a #computer? Retired @nlm_news director led the charge: |5.859172176965386e+17|http://khne.ws/1JowAkr
||Wed Apr 08 18:55:40 +0000 2015||Patch-Up-Job?  #Obamacare |5.858786955685437e+17|http://khne.ws/1NaiTex
||Wed Apr 08 18:54:17 +0000 2015||Still getting your taxes done? Your 2014 tax bill could be affected by your insurance.|5.85878346556289e+17|
||Wed Apr 08 17:05:36 +0000 2015||In medicine and use a computer? You probably have this man to thank ... @LVGillespie reports:  http://ow.ly/i/ahlHl|5.85850996666069e+17|http://khne.ws/1JowAkr
||Wed Apr 08 16:26:24 +0000 2015||RT @cnnhealth: Two doctors fight for their own choice of how to die. Via @KHNews  |5.85841130308264e+17|http://cnn.it/1yVmb9H
|It’s a warm afternoon in Miami, and 35-year-old Emanuel Vega has come to Baptist Health Primary Care for a physical exam. Dr. Mark Caruso shakes his hand with a welcoming smile.. Vega, a strapping man with a thick black beard, is feeling good, but he came to see the doctor today because his wife thought he should – she even made the appointment. It is free to him under his insurance policy with no co-pay, as most preventive care is under the . .. Vega is one of more than .  who is taking part in a medical ritual: visiting the doctor for an annual physical exam. But there’s little evidence that those visits actually do any good for healthy adults.. Caruso listens to Vega’s heart and lungs, checks his pulse in his ankles and feels around his lymph nodes. He also asks Vega about his exercise and sleeping schedule and orders blood and urine tests. As long as everything checks out, Caruso asks Vega to return for another exam in a year. Vega says he definitely will.. It was a positive experience for both doctor and patient, and they’re not alone; 92 percent of Americans say it is important to get an annual head-to-toe physical exam, according to a .  (KHN is an editorially independent program of the foundation). And 62 percent of those polled said they went to the doctor every year for their exam.. But the evidence is not on their side. “I would argue that we should move forward with the elimination of the annual physical,” says Dr. Ateev Mehrotra, a primary care physician and a professor of health policy at Harvard Medical School.. Mehrotra says patients should really only go to the doctor if something is wrong, or if it’s time to have an important preventive test like a colonoscopy. He realizes popular opinion is against this view. “When I, as a doctor, say I do not advocate for the annual physical, I feel like I’m attacking moms and apple pie,” Mehrotra says. “It seems so intuitive and straightforward, and [it’s] something that’s been part of medicine for such a long time.”. But he says randomized trials going back to the 1980s just don’t support it.. The Society for General Internal Medicine even put annual physicals on .  doctors should avoid for healthy adults. One problem, Mehrotra says, is the cost. Each visit usually costs insurers just $150, but that adds up fast.. “We estimate that it’s about. , which is more than how much we spend as a society on breast cancer care,” Mehrotra says. “It’s all a lot of money.”. And then there’s the risk that a doctor will run a test and find a problem that’s not actually there. It’s called a false positive, and it can lead to a cascade of follow-up tests that can be expensive and could even cause real harm. Dr. Michael Rothberg is another primary care physician and a health researcher at the Cleveland Clinic. He generally . .. “I generally don’t like to frighten people and I don’t like to give them diseases they don’t have,” Rothberg says. “I mostly tell my family, ‘if you’re feeling well, stay away from doctors. If you get near them, they’ll start to look for things and order tests because that’s what doctors do.’ ”. “The flip side of that is if you’re not feeling well, don’t keep it to yourself. Don’t minimize it. Don’t pretend it’s not there,” he adds.. Rothberg says he still has patients who always schedule an annual exam. For those patients, he .  and focuses instead on talking to them about their dietary and exercise habits, possible risks, age-appropriate vaccinations and any screening tests they may need.. The guidelines discouraging annual physicals are aimed specifically at asymptomatic adults. Dr. David Fleming, president of the American College of Physicians, says it’s important for elderly patients to be seen on a regular basis, to “do a full assessment of everything – how they live at home, if the conditions are safe, are they at risk of falling? They need a flu shots every year. This is a population where it’s definitely indicated.”. Back in Miami, Caruso is also well versed in the research on annual physicals, but he still believes in them. “I think having a look at somebody is worth its weight in gold,” he says.. It’s an important part of developing a relationship with a patient, he says, and there have been countless times when he’s found real problems during an exam just like the one he gave to Vega.. “What if Mr. Vega had had a lump or bump that wasn’t right?” Caruso asks. “What if when he had his shirt off, Mr. Vega said, ‘Oh yeah, I forgot to mention this spot on my chest,’ and it ended up being a melanoma we discovered early?”. And Vega did end up needing a little help – he has a bad back that’s landed him in the ER several times. Caruso was able to link him up with a back specialist to help him manage the problem.|Tue Apr 07 16:53:38 +0000 2015||"RT @drshow: ""Evidence just doesn't support"" annual physicals, @JennyAGold reports:  But that info isn't getting out t"|5.854855941780152e+17|http://wamu.fm/1NQYhmG
|"		. 

		
							. The federal health law requires that most people have health coverage. If you were insured through work, bought a plan on the new insurance marketplaces or enrolled in Medicare Part A, Medicaid or Tricare you likely met the requirement and can simply check that box off on your . .. If you didn’t have coverage or had it for only part of the year, you need to fill out . . That lets you claim an exemption or calculate your penalty. That penalty is $95 or 1 percent of your family’s income, whichever is greater.. The law allows some coverage exemptions, like if you didn’t make enough money to have to file a tax return or suffered a financial hardship. See page 2 of the .  for the full list.. If you are facing an unexpected penalty for not having insurance, and want to avoid the same penalty for 2015, the government has opened a .  for you to buy a plan on the marketplace through April 30.. Some people face other unwelcome tax news. If you received federal subsidies to help buy insurance and underestimated  your 2014 income, you may have to pay back the government.. How do you figure out if you owe the government money? First, review . , which you received from the marketplace, to find the amount of your 2014 subsidy. Then, transfer that number and fill out .  to calculate how much you must pay back.. For more information on tax implications of the health law, visit .  or go to Kaiser Health News’ “. ” columns for more advice."|Tue Apr 07 16:18:52 +0000 2015||Still getting your taxes done? Your 2014 tax bill could be affected by your insurance. Watch:  |5.854768457868165e+17|http://kaiserhealthnews.org/news/khn-video-tax-deadline-meets-the-health-law/
