|author|contents|date|tags|title|tweetid|url
0||LOS ANGELES (Reuters) - Authorities in Los Angeles have shuttered 500 medical marijuana dispensaries since residents voted two years ago to cap the number of pot shops in the city at about 130, officials said on Thursday. , City Attorney Mike Feuer told reporters hundreds of the illegal businesses still operate, highlighting the challenges of reining in the dispensaries in Los Angeles, which is widely believed to have more pot shops than any U.S. metropolis. , To achieve the closures, Los Angeles officials have filed criminal and civil cases against some dispensary owners, and have sent letters threatening legal action against landlords who lease space to dispensaries, officials said. , The medical cannabis shops opened in the years after a vote by California residents in 1996 to permit medicinal use of the drug, which remains banned under federal law.  , Twenty-three U.S. states allow medical pot, while four states and the District of Columbia have approved recreational marijuana use by adults. , Efforts to control the number of dispensaries in Los Angeles, the nation’s second-largest city, have at times been compared with a game of whack-a-mole, as the owners of some shops move their businesses to escape enforcement. , The dispensaries, which are usually identified by a green medical cross posted on a storefront, have long drawn complaints from neighbors upset about the pungent smell and the risk of minors getting marijuana from dispensary customers.   , But Feuer said the number of complaints has fallen over the last two years, in what he said was a sign the crackdown by his office is working. He declined to give an exact estimate of how many dispensaries still exist.     , “While we have succeeded in a remarkable way up to this point, we are far from through,” Feuer told a news conference. , Los Angeles residents voted in 2013 to cap the number of dispensaries at about 130, or roughly as many as registered with the city in 2007 when city leaders first tried to limit their numbers. , Under California’s rules, the dispensaries cannot be located near schools, and must follow other regulations such as not having illuminated signs visible at night.   , Estimates for the number of dispensaries currently operating in the city have varied widely. , A survey last September by the University of California, Los Angeles, found at least 410 in operation, said Bridget Freisthler, a professor of social welfare at the school. |Thu Apr 09 21:40:16 +0000 2015||Los Angeles closes 500 medical marijuana shops, but hundreds remain |5.862825039813755e+17|http://reut.rs/1CvkXmm
1|||Thu Apr 09 21:24:27 +0000 2015||U.S. cuts poultry export forecast as deadly bird flu spreads |5.862785247487508e+17|http://reut.rs/1abCAQY
2|||Thu Apr 09 21:04:15 +0000 2015||Fears over Roundup herbicide residues prompt private testing |5.862734418016993e+17|http://reut.rs/1DpfmCU
3|||Thu Apr 09 19:49:50 +0000 2015||Liberia watchdog says some Ebola funds unaccounted for |5.86254712523096e+17|http://reut.rs/1Dp1vfF
4|||Thu Apr 09 19:07:10 +0000 2015||Diabetes devices may interfere with avalanche beacon signals |5.862439763337871e+17|http://reut.rs/1DoTDLl
5|||Thu Apr 09 18:58:12 +0000 2015||Three in Texas infected with Listeria from tainted ice cream: CDC |5.862417204902748e+17|http://reut.rs/1DoRX4s
6|||Thu Apr 09 18:01:58 +0000 2015||Mediterranean rescuers in quest for seaborne migrants' chef |5.862275685269176e+17|http://reut.rs/1CuvM85
7|||Thu Apr 09 17:00:56 +0000 2015||Fidelity CEO taps personal fortune for bets on cancer-related IPOs |5.862122067291341e+17|http://reut.rs/1CufHPU
8|||Thu Apr 09 16:27:23 +0000 2015||Mexico reports bird flu outbreaks in Puebla and Oaxaca states |5.862037667744645e+17|http://reut.rs/1Cu6UgG
9|||Thu Apr 09 16:09:08 +0000 2015||Can special flooring reduce fall injuries for elderly? |5.861991734998508e+17|http://reut.rs/1DolhYO
10|||Thu Apr 09 16:09:08 +0000 2015||When surgeons say ‘we can fix it,’ patients may misunderstand risks |5.861991715873055e+17|http://reut.rs/1Cu2dU6
11|||Thu Apr 09 12:51:04 +0000 2015||Detecting diabetes in children before symptoms appear |5.861493262058824e+17|http://reut.rs/1CtdtAf
12|||Thu Apr 09 12:26:17 +0000 2015||Niger isolates suspected bird flu farm as region takes precautions |5.861430918931087e+17|http://reut.rs/1Ct7r2B
13|||Thu Apr 09 06:03:35 +0000 2015||Sabra Dipping Co recalls 30,000 cases of hummus over Listeria fears |5.860467810557051e+17|http://reut.rs/1CrMAwn
14|||Thu Apr 09 05:16:24 +0000 2015||California bill banning child vaccine exemptions moves ahead |5.860349062764339e+17|http://reut.rs/1CrDIH4
15|||Thu Apr 09 00:01:17 +0000 2015||U.S. bird flu outbreak accelerates as wild ducks migrate north |5.859556071251067e+17|http://reut.rs/1CqEV1z
16|||Thu Apr 09 00:01:17 +0000 2015||U.S. appeals court deals setback to Florida tobacco plaintiffs |5.859556050111775e+17|http://reut.rs/1DlT2K8
17|||Wed Apr 08 23:29:40 +0000 2015||Oklahoma set to join Kansas in banning flashpoint abortion procedure |5.859476507442668e+17|http://reut.rs/1CqyhIC
18|||Wed Apr 08 22:22:13 +0000 2015||Memory may suffer in mothers caring for disabled children |5.859306743408108e+17|http://reut.rs/1DlA8Dq
19|||Wed Apr 08 21:01:12 +0000 2015||Celladon to report results of its gene therapy for heart failure: CEO |5.859102839541719e+17|http://reut.rs/1CpZ6g0
20|||Wed Apr 08 20:45:22 +0000 2015||Midlife arts, crafts and socializing tied to better late-life cognition |5.859063019616666e+17|http://reut.rs/1DlfOCa
21|||Wed Apr 08 20:45:22 +0000 2015||Canada bird flu virus in Ontario highly pathogenic strain |5.859062998729236e+17|http://reut.rs/1CpVnPu
22|||Wed Apr 08 20:05:10 +0000 2015||Common painkiller may not ease lower back pain or osteoarthritis |5.858961840211804e+17|http://reut.rs/1CpKux1
23|||Wed Apr 08 20:05:09 +0000 2015||30 new Ebola cases, lowest weekly figure in nearly a year: WHO |5.85896182100136e+17|http://reut.rs/1Dl7UZo
24|||Wed Apr 08 19:01:53 +0000 2015||Fatal crashes involving teen drivers decline sharply in U.S |5.858802581230592e+17|http://reut.rs/1DkWkxs
25|||Wed Apr 08 18:46:07 +0000 2015||Injury prevention programs unpopular with high school coaches |5.858762919766221e+17|http://reut.rs/1CpqB9m
26|||Wed Apr 08 14:31:44 +0000 2015||UK biotech Silence Therapeutics raises $58 million for its RNA drive |5.858122726620652e+17|http://reut.rs/1Co8ror
27|||Wed Apr 08 10:33:03 +0000 2015||Chinese citizens sue government over transparency on Monsanto herbicide |5.857522072634e+17|http://reut.rs/1Cn9e9f
28|||Wed Apr 08 00:00:39 +0000 2015||Kansas becomes first state to ban a second trimester abortion procedure |5.855930600856699e+17|http://reut.rs/1Cl0YGG
29|||Tue Apr 07 22:57:24 +0000 2015||Kids may be more likely to use customized playgrounds |5.855771422867333e+17|http://reut.rs/1CkO1g2
30|||Tue Apr 07 22:12:22 +0000 2015||Minnesota bird flu cases rise as U.S. investigators arrive |5.855658059595899e+17|http://reut.rs/1CkEiXh
31|||Tue Apr 07 21:36:34 +0000 2015||Higher purpose in life tied to better brain health |5.85556798217855e+17|http://reut.rs/1Dh1oTj
32|||Tue Apr 07 21:04:53 +0000 2015||Taiwan, Japan ban Ontario poultry over Canada bird flu |5.85548824128684e+17|http://reut.rs/1DgTTMg
33|||Tue Apr 07 20:31:14 +0000 2015||FDA accepts Novo Nordisk's resubmitted application for insulin drug |5.855403582280704e+17|http://reut.rs/1CkhlDC
34|||Tue Apr 07 20:22:00 +0000 2015||With diabetes, fewer meals may mean less hunger, depression |5.855380342061261e+17|http://reut.rs/1DgKYuc
35|||Tue Apr 07 18:29:37 +0000 2015||Erectile dysfunction drugs vary in effectiveness, side effects |5.855097511083049e+17|http://reut.rs/1CjK0Zs
36|||Tue Apr 07 17:28:36 +0000 2015||Sierra Leone says Kailahun Ebola case report was mistaken |5.85494395148968e+17|http://reut.rs/1CjpTKK
37|||Tue Apr 07 16:09:54 +0000 2015||Unrelated 'next of kin' may lead to legal confusion |5.854745894483476e+17|http://reut.rs/1DfWwhh
38|||Tue Apr 07 15:38:24 +0000 2015||Hospira gets FDA warning letter for Italian facility |5.854666633294684e+17|http://reut.rs/1DfQYDH
39|||Tue Apr 07 14:42:15 +0000 2015||U.S. FDA staff: Swedish Match snus proposal raises questions |5.854525334616883e+17|http://reut.rs/1CiqkVF
40|||Tue Apr 07 14:42:15 +0000 2015||U.S. Ebola patient's condition improves to good: NIH |5.85452531553325e+17|http://reut.rs/1DfIImZ
41|||Tue Apr 07 13:29:50 +0000 2015||Acacia rigidula supplements still containing stimulant found on market |5.854343090724127e+17|http://reut.rs/1Dfs4UJ
42|||Tue Apr 07 12:11:02 +0000 2015||Robotic glove could help stroke survivors |5.854144782353121e+17|http://reut.rs/1DfgxET
43|||Tue Apr 07 00:37:32 +0000 2015||Sterilization threat darkens Europe's transgender quest for identity |5.852399517862461e+17|http://reut.rs/1DdX1IP
44|||Tue Apr 07 00:37:31 +0000 2015||Bird flu confirmed on turkey farm in Woodstock, Ontario |5.852399499072594e+17|http://reut.rs/1CexFFQ
45|||Mon Apr 06 22:35:56 +0000 2015||For some elderly, unclogging leg arteries doesn't improve mobility |5.852093501107323e+17|http://reut.rs/1DdyXpo
46|||Mon Apr 06 21:30:41 +0000 2015||Jenny Craig, Weight Watchers better commercial diet choices |5.851929300774748e+17|http://reut.rs/1CdM3OF
47|||Mon Apr 06 21:30:41 +0000 2015||Physical therapy may be as good as surgery for common back problem |5.851929278838784e+17|http://reut.rs/1DdlUo0
48|||Mon Apr 06 21:14:56 +0000 2015||U.S. regulator says 2016 payments for Medicare Advantage to rise |5.851889670012887e+17|http://reut.rs/1CdHFz0
