author|contents|date|tags|title|tweetid|url
Alex Dobuzinskis|LOS ANGELES (Reuters) - Authorities in Los Angeles have shuttered 500 medical marijuana dispensaries since residents voted two years ago to cap the number of pot shops in the city at about 130, officials said on Thursday. . City Attorney Mike Feuer told reporters hundreds of the illegal businesses still operate, highlighting the challenges of reining in the dispensaries in Los Angeles, which is widely believed to have more pot shops than any U.S. metropolis. . To achieve the closures, Los Angeles officials have filed criminal and civil cases against some dispensary owners, and have sent letters threatening legal action against landlords who lease space to dispensaries, officials said. . The medical cannabis shops opened in the years after a vote by California residents in 1996 to permit medicinal use of the drug, which remains banned under federal law.  . Twenty-three U.S. states allow medical pot, while four states and the District of Columbia have approved recreational marijuana use by adults. . Efforts to control the number of dispensaries in Los Angeles, the nation’s second-largest city, have at times been compared with a game of whack-a-mole, as the owners of some shops move their businesses to escape enforcement. . The dispensaries, which are usually identified by a green medical cross posted on a storefront, have long drawn complaints from neighbors upset about the pungent smell and the risk of minors getting marijuana from dispensary customers.   . But Feuer said the number of complaints has fallen over the last two years, in what he said was a sign the crackdown by his office is working. He declined to give an exact estimate of how many dispensaries still exist.     . “While we have succeeded in a remarkable way up to this point, we are far from through,” Feuer told a news conference. . Los Angeles residents voted in 2013 to cap the number of dispensaries at about 130, or roughly as many as registered with the city in 2007 when city leaders first tried to limit their numbers. . Under California’s rules, the dispensaries cannot be located near schools, and must follow other regulations such as not having illuminated signs visible at night.   . Estimates for the number of dispensaries currently operating in the city have varied widely. . A survey last September by the University of California, Los Angeles, found at least 410 in operation, said Bridget Freisthler, a professor of social welfare at the school. |Thu Apr 09 21:40:16 +0000 2015||Los Angeles closes 500 medical marijuana shops, but hundreds remain |5.862825039813755e+17|http://reut.rs/1CvkXmm
|CHICAGO (Reuters) - The U.S. government on Thursday reduced its forecasts for poultry exports by nearly 6 percent from last month due partly to an accelerating outbreak of bird flu that has triggered wider-than-expected trade restrictions. . The steep cuts came as the U.S. Department of Agriculture confirmed a second commercial flock of turkeys in South Dakota has been infected with the H5N2 flu, which can kill nearly an entire flock of poultry in 48 hours.  . Birds in eight other states have tested positive for the same lethal strain since the beginning of the year, prompting key overseas buyers such as Mexico and Canada to limit imports of U.S. poultry and eggs from states and counties with infections. The most damaging restrictions to the $5.7 billion U.S. export market have been countrywide import bans imposed by China and South Korea. . “We didn’t expect China or South Korea really to take as severe, drastic action as they did,” said Jim Sumner, president of the USA Poultry & Egg Export Council. . Last year, China and South Korea accounted for about $428.5 million in export sales of poultry meat and products, according to USDA data. . The USDA, in a monthly supply and demand report, dropped its estimate for turkey exports in 2015 to 720 million lbs (327,000 tonnes) from 765 million lbs in March and 804 million last year. Exports for broiler chickens were pegged at 6.68 billion lbs, down from 7.1 billion last month and 7.3 billion last year. . Strength in the U.S. dollar, which makes U.S. farm products less attractive to overseas buyers, makes it difficult for exporters to expand business in the face of trade restrictions due to bird flu, the USDA said. . The number of U.S. infections in poultry has been climbing as migratory ducks, which are believed to be spreading the virus, are traveling to northern states after spending the winter farther south, experts said. . The latest inflected flock of 34,000 turkeys in South Dakota will be culled to prevent the spread of the disease, according to the USDA. No human infections have been detected. |Thu Apr 09 21:24:27 +0000 2015||U.S. cuts poultry export forecast as deadly bird flu spreads |5.862785247487508e+17|http://reut.rs/1abCAQY
Carey Gillam|(Reuters) - U.S. consumer groups, scientists and food companies are testing substances ranging from breakfast cereal to breast milk for residues of the world’s most widely used herbicide on rising concerns over its possible links to disease. . The focus is on glyphosate, the active ingredient in Roundup. Testing has increased in the last two years, but  scientists say requests spiked after a World Health Organization research unit said last month it was classifying glyphosate as “probably carcinogenic to humans.” . “The requests keep coming in,” said Ben Winkler, laboratory manager at Microbe Inotech Laboratories in St. Louis. The commercial lab has received three to four requests a week to test foods and other substances for glyphosate residues. In prior years, it received only three to four requests annually, according to its records. . “Some people want to stay out in front of this. Nobody knows what it means yet, but a lot of people are testing,” said Winkler. . Microbe has handled recent requests for glyphosate residue testing from small food companies, an advocacy group testing baby formula and a group of doctors who want to test patients’ urine for glyphosate residues, said Winkler. The firms and doctors do not want their identities published. . Abraxis LLC, a Warminster, Pennsylvania-based diagnostics company, has also seen a “measurable increase” in glyphosate testing, said Abraxis partner Dave Deardorff.  . Monsanto Co, the maker of Roundup, on April 1 posted a blog seeking to reassure consumers and others about glyphosate residues.  . “According to physicians and other food safety experts, the mere presence of a chemical itself is not a human health hazard. It is the amount, or dose, that matters,” Monsanto senior toxicologist Kimberly Hodge-Bell said in the blog. Trace amounts are not unsafe, she stated. . Company spokeswoman Charla Lord said last week that further questions could be directed to the U.S. Department of Agriculture.  . There are numerous studies that have determined glyphosate to be safe, but several others have linked it to human health ailments. Critics say they fear that glyphosate is so pervasive in the environment that extended exposure even to trace amounts can be harmful.  . Tests by Abraxis found glyphosate residues in 41 of 69 honey samples and in 10 of 28 soy sauces; Microbe tests detected glyphosate in three of 18 breast milk samples and in six of 40 infant formula samples. . North Dakota State University agronomist Joel Ransom  reported to the U.S. Wheat Quality Council in February that tests he ordered showed traces of glyphosate in several U.S. and Canadian flour samples. |Thu Apr 09 21:04:15 +0000 2015||Fears over Roundup herbicide residues prompt private testing |5.862734418016993e+17|http://reut.rs/1DpfmCU
|MONROVIA (Reuters) - A report by Liberia’s anti-corruption watchdog found some $800,000 spent in the fight against Ebola at the height of the outbreak of the disease last year was not properly accounted for, most of it passing through the defense ministry. . The General Auditing Commission (GAC) report covering the period from August to October 2014 analyzed more than $13 million spent by the National Ebola Trust Fund (NETF). The funds mostly came from foreign donations.  . “The conduct of the affairs of the ...(NETF) were marred by financial irregularities and material control deficiencies,” read the report, published on the GAC web site. . The Ebola epidemic, which began in December 2013, has claimed nearly 10,600 lives, mostly in Liberia, neighboring Guinea and Sierra Leone, according to the World Health Organization (WHO). . Liberia’s last known Ebola patient died on March 27, starting a 42-day countdown for the country to be declared free of the virus.     . The government said in a statement that it welcomed the report and pledged to take appropriate corrective measures, including possible prosecutions and tighter spending controls. . It said auditees could still bring appropriate documentation to a public hearing by the National Legislature.   . The audit did not include donations from international organizations including the World Bank, the United States Agency for International Development (USAID), and other foreign donors whose contribution did not flow through the NETF.      |Thu Apr 09 19:49:50 +0000 2015||Liberia watchdog says some Ebola funds unaccounted for |5.86254712523096e+17|http://reut.rs/1Dp1vfF
Lisa Rapaport|(Reuters Health) - - Hikers and winter sports aficionados who venture deep into snow country and get caught in an avalanche may find emergency beacons are less effective if the searcher is also using a diabetes monitor or insulin pump, according to a small study. . “The potential for interference between a diabetes device and an avalanche beacon (in search mode) is increased if both devices are held in close proximity and reduced if they are separated,” said lead author Dr. Steven Miller, a researcher at North Shore Hospital in Auckland, New Zealand.  . So-called avalanche beacons both transmit and receive signals that can be used to locate and rescue a person buried under the snow by an avalanche. In a typical scenario, companions who escape being buried can use their transceivers to start searching immediately for the beacon signal of someone who is missing.  . Previous research has shown that the transceiver searching for a signal from another beacon can be rendered less effective by interference from cell phones, MP3 players and other electronic devices, Miller and colleagues note in Wilderness and Environmental Medicine. The devices are not themselves affected by the avalanche beacons, though. . People with type 1 diabetes need continual monitoring and adjustments to maintain an ideal balance of insulin and glucose in their blood. Implanted insulin pumps and glucose monitors can wirelessly transmit information to each other to keep blood glucose under control for weeks at a time. . For the current study, researchers examined how well two commonly used avalanche beacon-transceivers could detect signals in an open field. Then they explored whether placing personal electronic devices such as mobile phones and two-way radios, as well as insulin pumps and blood sugar monitors for diabetes, nearby would limit the distance at which the receiver could detect another beacon’s signal.  . They found that the greatest distance at which the transceiver could accurately detect the location of a transmitting beacon was 30 meters (about 100 feet), but the search range was reduced to just 5 meters (16 feet) when the beacon was placed within 30 centimeters (about 12 inches) of an iPhone 4, an iPhone 5 or an insulin pump, the Animas Vibe.  . One type of blood sugar monitor, the Dexcom G4 rtCGMS, didn’t appear to interfere at all with the transceiver’s ability to detect a signal. And none of the devices interfered with the transmitting beacon’s ability to send its signal. . The reduction in the searching beacon’s range of detection from 30 meters to 5 meters is significant, and has the potential to delay the rescue of a buried avalanche victim, the researchers write. . “I suggest therefore that any electronic device – including an insulin pump or a continuous glucose monitor, but also a MP3, cell phone, radio, etc – is kept as far away as possible from the avalanche beacon,” Miller said in an email. . To minimize the risk of signal interference, people might wear the avalanche beacon on an upper arm and then place a diabetes device lower on the body, said Dr. Lutz Heinemann, a partner and scientific consultant at Profil Institute for Clinical Research in Neuss, Germany.  . “To my knowledge, many patients with diabetes (mainly type 1) do such hiking trips and I have not heard about any issues,” Heinemann, who wasn’t involved in the study, said by email. “I don’t have data on hand about how many patients carry an avalanche beacon while hiking, but this sounds like not too common a combination.” . SOURCE: .  Wilderness and Environmental Medicine, online March 13, 2015. |Thu Apr 09 19:07:10 +0000 2015||Diabetes devices may interfere with avalanche beacon signals |5.862439763337871e+17|http://reut.rs/1DoTDLl
Jim Forsyth|SAN ANTONIO (Reuters) - Three cases of Listeria linked to tainted Blue Bell ice cream have been found in Texas, U.S. health authorities said on Thursday, with the recently discovered infections related to a strain thought to be a factor in three deaths in Kansas. . The U.S. Centers for Disease Control and Prevention (CDC) said the three people in Texas had been hospitalized for unrelated illnesses and appear to have developed the disease from eating tainted ice cream made at a Blue Bell plant in the Tulsa suburb of Broken Arrow, Oklahoma, it said. . The CDC did not give a location for the Texas patients but said they contracted Listeria between 2011 and 2014 and none died.  . While the incidences occurred in the past, health officials first identified a cluster of the strain last month.  . Since then, the Blue Bell plant has been temporarily closed and major grocery stores have recalled the product. . The strain identified in Texas is the same as that confirmed in Kansas, it said. . This brings to eight the number of people who contracted Listeria linked to Blue Bell products. The other five were in a hospital in Wichita, Kansas, and three of those patients died. Officials said Listeriosis was not the cause of their deaths, but it may have been a contributing factor. . According to the CDC, Listeriosis is a serious infection caused by eating food contaminated with the bacterium Listeria. It primarily affects older adults, pregnant women, newborns and those with compromised immune systems. It can lead to death. . Blue Bell has issued three separate recalls of its products, and says it is working closely with federal officials from the CDC and the U.S. Food and Drug Administration to get to the bottom of the Listeriosis outbreak.   |Thu Apr 09 18:58:12 +0000 2015||Three in Texas infected with Listeria from tainted ice cream: CDC |5.862417204902748e+17|http://reut.rs/1DoRX4s
Magdalena Mis|LONDON (Thomson Reuters Foundation) - Cooking rice or pasta with tomato sauce may not look like a big challenge, but the job of a chef on a migrant rescue boat in the Mediterranean is no picnic.  . “Cooking in a very small galley for 300 people and trying to keep everything warm and good for everybody is quite a big job,” Christian Peregin, the Migrant Offshore Aid Station (MOAS)spokesman, said on Thursday. . “It takes some talent and some craft to be able to cook simple but very nutritious food and keep it good,” he told the Thomson Reuters Foundation in a phone interview from Malta.  . MOAS, the first privately funded rescue service of its kind,  saved 3,000 migrants from rickety boats in the Mediterranean in 2014, and announced on Monday that wanted “great chefs to brave the Mediterranean waters in exchange for an extraordinary life-saving adventure”. . Although MOAS may not be looking for a Jamie Oliver-style gourmet chef, it would certainly welcome celebrity endorsement,  Peregin said. . “We rely on donations, so I think any sort of celebrity type of endorsement or any celebrity partnership, which would raise our profile and help convince more people to donate money to give us more sustainability, would be very welcome,” he said. . “Someone of the profile of Jamie Oliver would be fantastic.” . Peregin said MOAS had so far received some 20 applications and hoped to have the first volunteer chefs out at sea by July. . Founded by Malta-based Christopher and Regina Catrambone, MOAS launched its rescue service at the end of August last year. . They spent millions of euros on a 40-metre ship, the Phoenix, equipped with rescue dinghies and drones, and manned by a professional crew. . The couple said they felt compelled to act following an appeal by the Pope after several hundred African migrants drowned off the Italian island of Lampedusa in October 2013. |Thu Apr 09 18:01:58 +0000 2015||Mediterranean rescuers in quest for seaborne migrants' chef |5.862275685269176e+17|http://reut.rs/1CuvM85
Tim McLaughlin|BOSTON (Reuters) - Fidelity Investments Chief Executive Officer Abigail Johnson is betting part of her personal fortune on several companies developing cancer treatments, including three that have recently announced plans for initial public offerings. . In recent months, biopharmaceutical investments made on behalf of the 53-year-old billionaire and her siblings either have surged in value or have advanced further toward their stock market debuts. . Johnson has made her investments through Impresa Management LLC, whose key shareholders include trusts for her and two siblings, Edward C. Johnson IV and Elizabeth Johnson, according to recent disclosures with the U.S. Securities and Exchange Commission.  . Abigail Johnson, who runs the No. 2 U.S. mutual fund company, was a pre-IPO investor in Coherus BioSciences Inc. Coherus, whose shares have more than doubled since going public in November, is developing a biosimilar drug for Neulasta, a medicine that boosts the body’s immune system during chemotherapy. . Impresa owned Coherus shares worth $10 million on Dec. 31, filings show. The stock’s value has climbed more than 60 percent since then. . Impresa has $2.3 billion in assets under management. One of its biggest holdings at the end of last year was a $353 million stake in Chinese Internet commerce company Alibaba Group Holding Ltd, SEC filings show. . Johnson also is poised to capitalize on the stock market debuts of Adaptimmune Therapeutics Plc, ViewRay Inc and Blueprint Medicines Corp, SEC filings show.  . United Kingdom-based Adaptimmune this week disclosed plans to raise up to $150 million in an IPO to help advance cancer-fighting therapies that use white blood cells. . Adaptimmune’s investors include Beacon Bioventures, which has Impresa as a general partner. Beacon owns about 13.6 million preferred shares in the company, SEC filings show.  . Beacon and Impresa hold about a 23 percent stake in Cleveland-based ViewRay, which filed for a $64 million IPO in February and makes an MRI machine that targets soft-tissue tumors with radiation. . In a similar arrangement, Beacon and Impresa own 42 percent of Cambridge, Massachusetts-based Blueprint Medicines. The company filed for a $100 million IPO last month, with plans to use the proceeds to advance the development of its anti-cancer treatments. . Forbes estimates Johnson’s net worth at about $13 billion. She declined to comment for this story.  . Fidelity spokesman Vincent Loporchio said the investments were private holdings and did not affect the company’s mutual funds. |Thu Apr 09 17:00:56 +0000 2015||Fidelity CEO taps personal fortune for bets on cancer-related IPOs |5.862122067291341e+17|http://reut.rs/1CufHPU
|PARIS/MEXICO CITY (Reuters) - Mexico has reported outbreaks of highly pathogenic H7N3 bird flu virus in two backyards in the states of Oaxaca and Puebla in the southern part of the country, the World Organisation for Animal Health (OIE) said on Thursday. . Following a notification by the homeowners of an increase in the sudden death of birds, 139 birds were found infected by the virus, the Mexican agriculture ministry said in a report posted on the website of the Paris-based organisation. . “The official veterinary services launched the necessary epidemiological investigation and the presence of highly pathogenic avian influenza virus subtype H7N3 was confirmed,” it said. . Both outbreaks were confirmed as positive for avian influenza on March 9. The report said that so far, no epidemiological link had been identified between them. . Mexico’s agriculture ministry said in a statement on Thursday that the reported cases were immediately controlled  and that animal health authorities had not found any other infected birds. No traces of the virus were found within a 10 kilometer radius of the area, the ministry said.  . The ministry also said poultry companies in the areas had not been affected. |Thu Apr 09 16:27:23 +0000 2015||Mexico reports bird flu outbreaks in Puebla and Oaxaca states |5.862037667744645e+17|http://reut.rs/1Cu6UgG
Kathryn Doyle|(Reuters Health) – - Special impact-absorbing flooring reduced fall injuries by nearly 60 percent in a new study of women in Swedish nursing homes, though the soft floors may also be linked to more falls, according to the authors.  . “Falls are extremely common in nursing home residents, approximately 70 percent are fallers and they fall on average three to four times per year,” said lead author Johanna Gustavsson of Karlstad University in Sweden. “The consequences are often very serious, for example resulting in hip fractures or head injuries.” . In the U.S., one of every three adults over age 65 falls each year, with about one quarter of those sustaining moderate to severe injuries that “make it hard for them to get around or live independently, and increase their risk of early death,” according to the Centers for Disease Control and Prevention. . The direct medical costs of falls by seniors are estimated at $34 billion annually, according to CDC. . The idea of reducing force to reduce the risk of injuries in an accident is by no means new, it has been tested in many fields like traffic and sports, Gustavsson said. . But impact-absorbing floors have not been widely tested, and the reduction in injury rate in the new study was greater than she and her coauthors expected, Gustavsson told Reuters Health by email. . The researchers collected fall and injury data from a nursing home in Sweden with 60 apartments divided into six wards. Six of the 60 apartments had New Zealand-manufactured Kradal brand 12-millimeter flexible impact absorbing tiles installed. This flooring is not approved for wet areas and was not installed in any bathrooms. . The half-inch thick tiles have a spongy polyurethane/polyurea interior. According to the manufacturer, they reduce the force of an impact by 65-85 percent, compared to concrete floors. . Between late 2011 and early 2014, 57 female nursing home residents with an average age of 85 participated in the study, 39 of whom fell at least once. Nursing home staff recorded 254 falls on regular flooring and 77 on impact absorbing flooring.  . Almost 17 percent of falls on the special flooring resulted in an injury, compared to 30 percent of falls on regular flooring, according to results in Injury Prevention.  . Most injuries were relatively minor, with between one and two percent resulting in hip fracture. Major injuries were equally common on both types of flooring, but minor injuries were less common on the soft floors.  . Although fall injuries were less common on the impact absorbing floors, falls seemed to be more common.  . “If indeed flooring was in less than 10 percent of the areas, then 10 percent of the falls would have occurred on the impact absorbing areas, but more than twice that many were on the impact absorbing floors,” said Dr. Peter M. Layde of the Medical College of Wisconsin in Milwaukee, who was not a part of the new study. . “It raises the possibility that softer flooring might actually increase risk of falling,” Layde told Reuters Health by phone.  . However, in this and other studies, there is a chance that nursing home staff moved patients who were more likely to fall into the softer flooring areas, Gustavsson said. . “We have indications that this was also the case in our study with staff moving elderly that were prone to fall to the areas with the special flooring in order to protect them, as they perceived that the flooring ‘worked’,” she said. “This was out of our control and nothing we could (or wanted) to prevent.” . M. Clare Robertson of the Dunedin School of Medicine at the University of Otago in New Zealand was involved with the initial testing of Kradal, and found no difference in standing, balance, walking or stability compared with standard vinyl or carpeted floors, she told Reuters Health by email. . Over the three-year period of the study, only six women fell on the impact absorbing floors and three fell on both types of floor, which means only nine individuals fell on the new flooring, Layde said. Such a small group limits how much the results can be interpreted, he said. . Bathrooms are a frequent location of falls, but the special flooring is not applicable there, he noted. . Still, the idea is “tantalizing” and deserves more investigation, Layde said. . “The use of this type of flooring is still in an experimental stage but there are some ongoing trials across the world,” Gustavsson said.  . There will need to be more tests to find the best mix of injury prevention and usability, she said.  . “Many aspects have to be considered for floorings in care settings: work environment, maintenance and hygiene to mention a few,” she said. The staff of this particular nursing home did appreciate the improved acoustic environment with the new floors, she noted. . SOURCE: .  Injury Prevention, online April 1, 2015.|Thu Apr 09 16:09:08 +0000 2015||Can special flooring reduce fall injuries for elderly? |5.861991734998508e+17|http://reut.rs/1DolhYO
