author|contents|date|tags|title|tweetid|url
Amy Dockser Marcus|"For years, Brad Margus has juggled two goals as chief executive: Make money, and find cures for his children.. He just co-founded a startup, Exigence Neurosciences Inc., in part to seek treatments for his two sons who have ataxia-telangiectasia, or A-T, a rare progressive and eventually fatal neurological disease.. There is no effective drug...
  "|Sat Dec 27 02:15:25 +0000 2014||Parents Start Companies to Cure Children |5.486634114378752e+17|http://on.wsj.com/1vyYbra
Liz Hoffman|More healthcare mergers ahead? The sector certainly has the balance sheet for it.. Cash reserves at pharmaceutical companies jumped 11% year over year in the third quarter to $217 billion, according to FactSet, money that could be used to continue the sector’s dealmaking spree.|Fri Dec 26 18:22:17 +0000 2014||RT @lizrhoffman: J&amp;J, Gilead among healthcare companies flush with cash. Another blockbuster M&amp;A year ahead?  via @WS�|5.485443447778345e+17|http://on.wsj.com/144DH2Q
||Fri Dec 26 17:35:42 +0000 2014||RT @stefaniei: How has the health law's first big year affected you? Share your stories and read other readers'. Faces of the ACA. |5.4853262081735885e+17|
||Fri Dec 26 17:08:34 +0000 2014||RT @lizrhoffman: Allergan dodges a bullet, Apollo's slick oil play &amp; King Carl does it again - twice. 2014's M&amp;A winners |5.485257906449531e+17|
||Fri Dec 26 17:07:37 +0000 2014||RT @Loftus: Faces of the Health Law: Read more about Alfred Chavis, 'The Striver,' who enrolled in an Obamacare plan #profile=2|5.485255518967767e+17|http://graphics.wsj.com/HealthProfiles/
||Fri Dec 26 14:48:59 +0000 2014||RT @stefaniei: Faces of the ACA: A preexisting condition kept Jaime Hood from getting insurance. Now she and her son are covered. |5.484906657019576e+17|
||Fri Dec 26 14:44:29 +0000 2014||RT @stefaniei: Faces of the ACA: This Young Invincible got motorcycles, figured he does need insurance, says he can't afford it.  |5.484895301528494e+17|
Ed Silverman|"A new year always brings new challenges, and the pharmaceutical industry certainly has its share.. There are myriad issues, in fact, that will play out next year as drug makers struggle to please shareholders, replenish pipelines, engage regulators and contend with continuing demands to provide drugs to the neediest populations. Here are a few topics to keep an eye on in 2015.. ...
  "|Fri Dec 26 14:41:33 +0000 2014||RT @LauraLandroWSJ: Drug Prices, generics and M&amp;A top the agenda for 2015. @Pharmalot  via @WSJ|5.484887921021665e+17|http://www.wsj.com/articles/drug-prices-generics-and-m-a-top-the-agenda-for-2015-1419554508
||Fri Dec 26 14:40:25 +0000 2014||RT @stefaniei: Medicare Unmasked: One reason fraud is so hard to combat--inadequate vetting of providers entering the system. |5.48488506642006e+17|
||Fri Dec 26 14:39:55 +0000 2014||RT @MelindaBeckWSJ: ACA has expanded coverage to millions, but what that means--and what it has cost--varies widely. We tell 10 stories-141�|5.4848838234803405e+17|
Ed Silverman|"A new year always brings new challenges, and the pharmaceutical industry certainly has its share.. There are myriad issues, in fact, that will play out next year as drug makers struggle to please shareholders, replenish pipelines, engage regulators and contend with continuing demands to provide drugs to the neediest populations. Here are a few topics to keep an eye on in 2015.. ...
  "|Fri Dec 26 04:36:49 +0000 2014||Drug Prices, M&amp;A Top the Agenda for '15 |5.4833660548890214e+17|http://on.wsj.com/1B8BTjM
John Carreyrou|"  NOTE TO READERS: In April 2014, Medicare released 2012 billing data that suppressed payments to medical providers for services they rendered to small numbers of patients. Medicare has since revised its methodology to include additional payments made to providers, and re-released 2012 billing data in June 2015. For this reason, the total payment figures cited in stories published prior to June 2015 may differ from figures cited from June 2015 onward. The original data released can be seen here, and updated figures for 2012, along with 2013 billing data, can be seen here. . John...
  "|Fri Dec 26 02:18:43 +0000 2014||Why It's So Hard to Fix Medicare Fraud |5.483018519724974e+17|http://on.wsj.com/1EmqSB5
Melinda Beck|"Internist Douglas Olson has seen firsthand the impact—and the side effects—of the Affordable Care Act’s first year of expanded health-care coverage.. One patient at his clinic had lost her previous insurance after being diagnosed with lung cancer. This year, she was able to find an affordable policy that covered her treatments and follow-up scans.. Another...
  "|Fri Dec 26 02:18:42 +0000 2014||Doctor Sees Benefits and Side Effects of Affordable Care Act |5.483018512972104e+17|http://on.wsj.com/1CT73g5
Stephanie Armour|"WASHINGTON—A laboratory technician working at the Centers for Disease Control and Prevention in Atlanta may have been exposed to the Ebola virus, federal officials said.. The technician will be monitored for 21 days following the mishap, which occurred in a CDC lab and was discovered and reported on Tuesday, according to agency officials.. Roughly...
  "|Thu Dec 25 03:00:55 +0000 2014||RT @StephArmour1: One being monitored, other CDC workers determined not to be exposed to Ebola, CDC says |5.4795008464285286e+17|http://on.wsj.com/1wlVh8m
Stephanie Armour|"WASHINGTON—A laboratory technician working at the Centers for Disease Control and Prevention in Atlanta may have been exposed to the Ebola virus, federal officials said.. The technician will be monitored for 21 days following the mishap, which occurred in a CDC lab and was discovered and reported on Tuesday, according to agency officials.. Roughly...
  "|Thu Dec 25 01:37:47 +0000 2014||CDC Worker in Atlanta May Have Been Exposed to Ebola Virus |5.4792916376446976e+17|http://on.wsj.com/1zzxoBd
Thomas M. Burton|"WASHINGTON—The Food and Drug Administration reversed a decades-old ban on gay and bisexual men donating blood, concluding that modern blood screening makes the ban unnecessary.. The agency said it would allow donations from men if they haven’t had sex with men in more than a year.. “The FDA has carefully examined and considered the available...
  "|Wed Dec 24 04:32:51 +0000 2014||FDA to Lift Ban on Blood Donations From Gay Men |5.476108351330345e+17|http://on.wsj.com/1CG14uU
Stephanie Armour|WASHINGTON—Almost 6.4 million people selected a health-care plan on the federal marketplace or were automatically re-enrolled in the first month of the Affordable Care Act’s open-enrollment season this fall, Health and Human Services Secretary Sylvia Mathews Burwell said Tuesday.. That figure compares with about 5.4 million people who had selected plans using the federal exchange in the original enrollment period of Oct. 1, 2013, through March 31, 2014.|Wed Dec 24 04:32:51 +0000 2014||Health Law Sign-Ups Near 6.4 Million |5.476108343612744e+17|http://on.wsj.com/1CG14uQ
